documentId	versionId	documentIdentity	ordinal	chunkId	headingPath	start	end	chars	contentSha256	chunkingVersion	bodyTextVersion
gold-001	version-gold-001-v1	d41ddecf0d6e42410b0a3af2a676a7feec5ba47255e89d3d6d5ec0ef52cbc88c	0	95fe5a41b7c23e50240fb7d1dd94884a47a16619c757019fdbff6e241afebe44	Hồ sơ quy trình mua sắm số 01 > Thông tin đã phê duyệt	74	271	157	a0629613d985dce6ec2a12717791d44f737ccf5520a9b79f29ed55b5713ecb55	heading-chunks-2000-v1	nfc-v1
gold-002	version-gold-002-v1	d3528149328a41c3c2afde2adc9f991fef14dde48f35cb18b4b84948d68249ab	0	de1d3a3b65554348254be1725fa63506f73811003bbac1102b84cff769f43eba	Hồ sơ kiểm soát truy cập số 02 > Thông tin đã phê duyệt	77	281	165	f9d729c9323682645e18753e610c14ee39c035d15520329ce58283112d905cd6	heading-chunks-2000-v1	nfc-v1
gold-003	version-gold-003-v1	ce542ed36a65fefa1dc2802b140ea22f803a4c46342b79e4c935d4e07da21a89	0	4f023c4012174136412c629ead25325ee2a43dffa959d6511cc116b2bb0fca4b	Hồ sơ đào tạo nhân sự số 03 > Thông tin đã phê duyệt	76	272	155	0d8ae874fe5ee0137cd26c04223512364fa739be0a0b4d9b774805be693698f2	heading-chunks-2000-v1	nfc-v1
gold-004	version-gold-004-v1	d589fbcc54eddcb0a89feab8719d3d8fb447d12c03a7d6956b0bc4faefdbc278	0	b4effdb6a39d498f5a09b87ea52632b8f0e15047b5414999ca1906ccc9762ab7	Hồ sơ sao lưu dữ liệu số 04 > Thông tin đã phê duyệt	74	276	160	5558fd29c8bb6be2aa4f9d63f33f941589607331522f586eeccec3a50a82bcf8	heading-chunks-2000-v1	nfc-v1
gold-005	version-gold-005-v1	7fa0ec6257016188fcd08b9a736d40fd1229bbd777ffb1d693c70f8277fb9cc7	0	13e31df422c359196842add6330c51e86570e01feb1b231de96f054d644c8627	Hồ sơ quản lý hợp đồng số 05 > Thông tin đã phê duyệt	78	282	161	0b6c3f46080cbecc0b8ff9c4f40834978243ee9b59cbd045b599367ccfc896c5	heading-chunks-2000-v1	nfc-v1
gold-006	version-gold-006-v1	e649536e80bd0e9857db1adb85d327058c130175411b962f239a5fdd8703297b	0	07df0bc8dec6add9fb8efc66029aced7c7bbfef91688763ec71aedecaa5dc8da	Hồ sơ bảo trì thiết bị số 06 > Thông tin đã phê duyệt	77	274	157	5258f1d277f85d820eb3ba0f4552b1d46a9e8424695df70046ffb3ef16f3bb71	heading-chunks-2000-v1	nfc-v1
gold-007	version-gold-007-v1	8a0b7471485c82b853affa0b61f9fd4ae9ea6c272a7d8cd828e99750de89ef10	0	b26da1ad49f1611fe6927b0418e5b28680cc2434ed43560ab4498621c313c39b	Hồ sơ xử lý sự cố số 07 > Thông tin đã phê duyệt	72	276	165	ae28e5cb56ee88f1c4914977e7f1e44b763a3c153d51a450f628e8207d345641	heading-chunks-2000-v1	nfc-v1
gold-008	version-gold-008-v1	d3e89f8f3c0554013892f0f8bf1f8f648e8f479a5115bbdf802c58c2f419f53d	0	9d5fae2a9a8fd37d9f70dfbb23983f344abe176e9ba5e9b00ab5f6aa011733b4	Hồ sơ đối soát thanh toán số 08 > Thông tin đã phê duyệt	78	274	155	776b16b1ff7662ce330b815d46066cbc5d8847a00a6e75504bc46cf4adc24234	heading-chunks-2000-v1	nfc-v1
gold-009	version-gold-009-v1	c5d5bf2f21d24ce034b5044e6d13614a16a85b22f6491547329d8115af58eb4b	0	5c968e283c08be22ca76d3a95b4d6711bd76e862507d139f9027a194eb51307a	Hồ sơ lưu trữ hồ sơ số 09 > Thông tin đã phê duyệt	73	275	160	c0a637ba6c669307a9558546d2de3d84ba09e51405661395478af4c868b2d04e	heading-chunks-2000-v1	nfc-v1
gold-010	version-gold-010-v1	124b225ede0aed56672904393ec66f81b17d4b97049e6f10a57eca5638342ad0	0	1387f7e5376c9664e6e9b79667dd3045520927aaae94571f81341886ca7ab0d1	Hồ sơ quy trình mua sắm số 10 > Thông tin đã phê duyệt	74	278	161	4ccb5fd50115a28426d2769bd412323e95edf23acb4891611f7c715f54157f36	heading-chunks-2000-v1	nfc-v1
gold-011	version-gold-011-v1	3541a53d4bdeaff13a6f23e21ef8c7d97827983e3ee86b798958f363e4c4fc07	0	305b46929163d30bb4e1a6b76b159ca311d72d9c3e26082c6f94c637436ba586	Hồ sơ kiểm soát truy cập số 11 > Thông tin đã phê duyệt	77	274	157	05d0b8b9d12695abcb36c5b07efb2fbc7c0c9c4ec917c0a63ef593ff43a5fa47	heading-chunks-2000-v1	nfc-v1
gold-012	version-gold-012-v1	ade6c8ff006d8c9c40b9ecadb762e4a3608485a9b273e7804271d14b2e8e2317	0	993ea7827931a240b7271c31b099962c73e223f31a4f595b3b4da831866922f0	Hồ sơ đào tạo nhân sự số 12 > Thông tin đã phê duyệt	76	280	165	eb073e8bc1f9d4084548b87fa681f67837cf460db3a333f657506a5a745e9eef	heading-chunks-2000-v1	nfc-v1
