query_id	query	category	expected_doc	relevance	answer_mode	span_start	span_end	page	answer_text	expected_answer	citations	version_mode	query_time	as_of	version_context	conflict_context	judgments
q-0001	Mã hồ sơ của “Hồ sơ quy trình mua sắm số 01” là gì?	named_entity	gold-001	3	answer	74	103	1	Mã hồ sơ là HS-2026-001.	Mã hồ sơ là HS-2026-001.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":103,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Mã hồ sơ là HS-2026-001."",""start"":74,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0002	ma ho so cua ho so quy trinh mua sam so 01 la gi	diacritic_variant	gold-001	3	answer	74	103	1	Mã hồ sơ là HS-2026-001.	Mã hồ sơ là HS-2026-001.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":103,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Mã hồ sơ là HS-2026-001."",""start"":74,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0003	Ngân sách của hồ sơ HS-2026-001 là bao nhiêu?	numeric_fact	gold-001	3	answer	105	163	1	Ngân sách được phê duyệt là 137 triệu đồng.	Ngân sách được phê duyệt là 137 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":163,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Ngân sách được phê duyệt là 137 triệu đồng."",""start"":105,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0004	ngan sach ho so hs-2026-001 bao nhieu	diacritic_variant	gold-001	3	answer	105	163	1	Ngân sách được phê duyệt là 137 triệu đồng.	Ngân sách được phê duyệt là 137 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":163,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Ngân sách được phê duyệt là 137 triệu đồng."",""start"":105,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0005	Trong kế hoạch triển khai quy trình mua sắm, để bố trí nguồn lực và báo cáo tiến độ đúng hạn, hồ sơ HS-2026-001 phải hoàn tất chính xác vào ngày nào?	long_context	gold-001	3	answer	165	216	1	Hạn hoàn tất là ngày 05 tháng 07 năm 2026.	Hạn hoàn tất là ngày 05 tháng 07 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":216,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Hạn hoàn tất là ngày 05 tháng 07 năm 2026."",""start"":165,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0006	han hoan tat hs-2026-001 la ngay nao	diacritic_variant	gold-001	3	answer	165	216	1	Hạn hoàn tất là ngày 05 tháng 07 năm 2026.	Hạn hoàn tất là ngày 05 tháng 07 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":216,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Hạn hoàn tất là ngày 05 tháng 07 năm 2026."",""start"":165,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0007	Đơn vị nào phụ trách hồ sơ HS-2026-001?	named_entity	gold-001	3	answer	218	271	1	Đơn vị phụ trách là Phòng Tài chính (PTC).	Đơn vị phụ trách là Phòng Tài chính (PTC).	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":271,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Đơn vị phụ trách là Phòng Tài chính (PTC)."",""start"":218,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0008	PTC phụ trách hồ sơ HS-2026-001 phải không?	abbreviation	gold-001	3	answer	218	271	1	Đơn vị phụ trách là Phòng Tài chính (PTC).	Đơn vị phụ trách là Phòng Tài chính (PTC).	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""48d521d506c99073a448fdd87f204e1d696cb0d565032c5288d8c2c9dfc6e01d"",""documentId"":""gold-001"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":271,""isCurrent"":true,""logicalDocumentId"":""logical-gold-001"",""page"":1,""quote"":""Đơn vị phụ trách là Phòng Tài chính (PTC)."",""start"":218,""versionId"":""version-gold-001-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-001-v1""],""currentVersionId"":""version-gold-001-v1"",""logicalDocumentId"":""logical-gold-001""}"	{}	"{""gold-001"":3,""gold-010"":1,""gold-019"":1}"
q-0009	Mã hồ sơ của “Hồ sơ kiểm soát truy cập số 02” là gì?	named_entity	gold-002	3	answer	77	106	1	Mã hồ sơ là HS-2027-002.	Mã hồ sơ là HS-2027-002.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":106,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Mã hồ sơ là HS-2027-002."",""start"":77,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0010	ma ho so cua ho so kiem soat truy cap so 02 la gi	diacritic_variant	gold-002	3	answer	77	106	1	Mã hồ sơ là HS-2027-002.	Mã hồ sơ là HS-2027-002.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":106,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Mã hồ sơ là HS-2027-002."",""start"":77,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0011	Ngân sách của hồ sơ HS-2027-002 là bao nhiêu?	numeric_fact	gold-002	3	answer	108	166	1	Ngân sách được phê duyệt là 154 triệu đồng.	Ngân sách được phê duyệt là 154 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":166,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Ngân sách được phê duyệt là 154 triệu đồng."",""start"":108,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0012	ngan sach ho so hs-2027-002 bao nhieu	diacritic_variant	gold-002	3	answer	108	166	1	Ngân sách được phê duyệt là 154 triệu đồng.	Ngân sách được phê duyệt là 154 triệu đồng.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":166,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Ngân sách được phê duyệt là 154 triệu đồng."",""start"":108,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
q-0013	Trong kế hoạch triển khai kiểm soát truy cập, để bố trí nguồn lực và báo cáo tiến độ đúng hạn, hồ sơ HS-2027-002 phải hoàn tất chính xác vào ngày nào?	long_context	gold-002	3	answer	168	219	1	Hạn hoàn tất là ngày 06 tháng 08 năm 2026.	Hạn hoàn tất là ngày 06 tháng 08 năm 2026.	"[{""chunkId"":null,""citationId"":""CITE-0001"",""contentSha256"":""fdf3345c5979aa4f23a776804590a1d173455bc891ea7eab947889b8fe337b03"",""documentId"":""gold-002"",""effectiveAt"":""2026-01-01T00:00:00Z"",""end"":219,""isCurrent"":true,""logicalDocumentId"":""logical-gold-002"",""page"":1,""quote"":""Hạn hoàn tất là ngày 06 tháng 08 năm 2026."",""start"":168,""versionId"":""version-gold-002-v1"",""versionNumber"":1}]"	current	2026-07-18T00:00:00Z		"{""changeNote"":"""",""citedVersionIds"":[""version-gold-002-v1""],""currentVersionId"":""version-gold-002-v1"",""logicalDocumentId"":""logical-gold-002""}"	{}	"{""gold-002"":3,""gold-011"":1,""gold-020"":1}"
